corrupt;yozlaşmış
a bad lot;Kötü bir sürü
a bad mark;Kötü bir işareti
a bad turn;kötü muamele
a bag of nerves;sinirlerin bir torba
a bed of roses;Güllerden bir yatak
a bee in one's bonnet;Kişinin kaput içinde bir arı
a bird in a gilded cage;altın kafesteki bir kuş
a bit;biraz
a bitter pill;acı bir hap
a black eye;Bir siyah göz
a bundle of nerves;bir sinir demetinin
a can of worms;bir kutu solucan
a card up one's sleeve;kurtarıcı
a change for the worse;kötüye gitme
a close shave;sinekkaydı
a cut above;bir tık üstü
a dark day;Karanlık bir gün
a dark saying;Karanlık bir deyiş
a dime a dozen;beş para etmez
a drop in the bucket;Kovada bir damla
a drop in the ocean;okyanusta bir damla
a fat lot;şişman çok
a few;birkaç
a flash in the pan;tavada flash
a flourish of trumpets;trompet bir güzelleşmek
a gleam of hope;umut parıltısı
a good buy;iyi bir satın
a good deal;iyi bir anlaşma
a good turn;iyi davranış
a great deal of;Bir hayli
a great deal;harika bir anlaşma
a great number of;çok sayıda
a green eye;yeşil göz
a hairbreadth escape;kıl payı kaçış
a hard nut to crack;sert ceviz
a hell of a lot;Bir fazlabirşey
a horse of another color;Başka renkte bir atı
a hundredfold;yüz kat
a kind of;bir çeşit
a king's ransom;Bir Kralın Fidyesi
a la carte;Alakart
a la mode;dondurmalı
a little bit;birazcık
a little;biraz
a load of;bir yük
a lot of;bir çok
a lot;çok
a matter of course;doðaldýr
a matter of life and death;ölüm kalım meselesi
a matter of;meselesi
a month hence;Ayda dolayısıyla
a narrow escape;ucu ucuna kaçmak
a narrow shave;Dar bir tıraş
a number of;bir miktar
a one-track mind;Tek parça zihni
a paragon of virtue;sayesinde bir paragraf
a piece of cake;bir parça kek
a posteriori;a posteriori
a pretty penny;güzel bir kuruş
a priori;Önsel
a raft of;bir sal
a ready pen;hazır bir kalem
a riot of colour;renk cümbüşü
A rolling stone gathers no moss;Yuvarlanan taş yosun tutmaz
a roof over one's head;Kişinin başının üzerinde bir çatı
a round oath;Yuvarlak bir yemin
a sly dog;kurnaz köpek
a square peg in a round hole;Yuvarlak bir deliğe bir kare peg
a stone's throw away;uzaklıkta bir taş atımı
a trifle;bir önemsememek
a trip around the world;Dünya çapında bir gezi
a white lie;bir beyaz yalan
a word in your ear;Kulağına bir kelime
a;bir
a-;a-
A-bomb;Bir bomba
A.D.;M.S.
aa;aa
aam;AAM
aardvark;yerdomuzu
aardwolf;yer kurdu
aarie;aarie
Aaronical;Aaronical
ab;ab
aba;aba
abaca;abaka
abacinate;abacinate
abacination;abacination
abaciscus;abaciscus
abacist;abacist
aback;pupada
abacterial;abakteriel
abactinal;abactinal
abactor;abactor
abacus;abaküs
abaddon;abaddon
abaft;kıç tarafında
abalone;deniz kulağı
abampere;abampere
abandon oneself to;için kendini terk
abandon;terketmek
abandoned;terkedilmiş
abandonment;terk
abase oneself;kendini abase
abase;küçültmek
abasement;alçalma
abash;gururunu kırmak
abashed;yüzü kızarmış
abask;abask
abat-jour;abat-jour
abate;azaltmak
abatement of action;eylem azaltılması
abatement;azaltma
abatjour;Abatjour
abattoir;mezbaha
abaxial;abaxial
abba;abba
abbreviate;kısaltmak
abbreviated;kısaltılmış
abbreviation;kısaltma
abc's;abc en
abdicate;çekilmek
abdication;çekilme
abdomen;karın
abdominal cavity;karın boşluğu
abdominal viscera;bağırsaklar
abdominal wall;karın duvarı
abdominal;karın
abduct;kaçırmak
abduction;kaçırma
abductor;kaçıran kimse
abeam;omurgaya dik olarak
abecedarian;alfabetik olarak düzenlenmiş
abecederian;abecederian
abed;yatak
abele;akkavak
abend;olağandışı sonlanma
aberglaube;Aberglaube
aberrant;anormal
aberration;aberasyon
abet;yoldan çıkarmak
abetment;yardakçılık
abetted;yataklık
abettor;yardakçı
abeyance;askıda
abhor;iğrenmek
abhorrence;nefret
abhorrent;iğrenç
abib;abib
abide by;bağlı kal
abide;uymak
abiding;bitmez tükenmez
abietic acid;abietik asit
abietic;abietic
ability;kabiliyet
abinitio;Elde etme
abiogenesis;cansızdan canlı oluşumu
abiosis;abiosis
abiota;abiota
abiotic environment;cansız çevre
abiotic;abiyotik
abiotrophic;abiotrophic
abiotrophy;abiotrophy
abject;sefil
abjectly;adice
abjectness;sefillik
abjuration;tövbe etme
abjure;tövbe etmek
Abkhas;Abkhas
Abkhazia;Abhazya
Abkhazian;Abhazca
ablactate;ablactate
ablactation;memeden kesme
ablation;ablasyon
ablative;ablatif
ablaut;ses değişimi
ablaze;alev alev
able;yapabilmek
able-bodied seaman;usta gemici
able-bodied;güçlü kuvvetli
abloom;çiçekli
abluent;abluent
ablush;yüzü kızarmış
ablution;yıkanma
ably;hünerle
abnegate;yadsımak
abnegation;feragat
abnormal egg;anormal yumurta
abnormal erosion;anormal aşınma
abnormal;Anormal
abnormality;anormallik
abnormally;anormal
abnormity;anormallik
aboard;gemiye
abode;ikametgâh
abolish;ortadan kaldırmak
abolition of restrictions;kısıtlamaların kaldırılması
abolition of the caliphate;halifeliğin kaldırılması
abolition;kaldırma
abolitionist;köleliğin kaldırılması yanlısı
abomasum;abomazum
abominable snowman;yeti
abominable;iğrenç
abominably;abominably
abominate;tiksinmek
abomination;nefret
aboriginal;yerli
aborigine;aborigine
aborigines;bitki örtüsü
abort;iptal etmek
abortifacient;düşük ilacı
abortion;kürtaj
abortionist;kürtaj yapan kimse
abortive trial;davanın sonuçsuz kalması
abortive;prematüre
aboulia;irade yitimi
abound;bol
about face!;yüzün hakkında!
about time;zaman hakkında
about to come;gelmek üzere
about;hakkında
aboutface;AboutFace
above all;herşeyden önce
above board;tahta üzerinde
above ground;yerden
above par;üst sınır
above reproach;Sitem
above sb's head;sb başının üstünde
above water;suyun üstünde
above;yukarıdaki
above-mentioned;yukarıda adı geçen
above-party politics;Yukarıda taraf siyaset
aboveboard;hilesiz
abovo;abovo
abracadabra;abrakadabra
abrachia;abrachia
abradant;yıpratıcı
abrade;aşındırmak
abrasion proof;aşınmaya dayanıklı
abrasion;aşınma
abrasive paper;zımpara kağıdı
abrasive power;aşındırıcı güç
abrasive;aşındırıcı
abreast of the times;zamanın ilerisinde
abreast;yan yana
abridge;kısaltmak
abridged;kısaltılmış
abridgement;kısaltma
abridgment;özetleme
abroad;yurt dışı
abrogate;iptal
abrogation;yürürlükten kaldırma
abrupt;ani
abruptly;aniden
abruptness;diklik
abscess;apse
abscisic acid;absisik asit
abscisic;absisik
abscisin;abscisin
abscissa;apsis
abscissin;abscissin
